"resp","response_token","timestamp","fu_json","p3q1","p3q2","p3q3","p3q3a","p3q4","p3q5","p3q6","p3q7","p3q8","p3q9","p3q10","p3q11","p3q12","p3q13","p3q14","p3q15","p3q16a","p3q16b","p3q16c","p3q16d","p3q16e","p3q16f","p3q16g","p3q16h","p3q16i","p3q16j","p3q16k","p3q16l","p3q16m","p3q16n","p3q16o","p3q16p","p3q17a","p3q17b","p3q17c","p3q17d","p3q17e","p3q17f","p3q17g","p3q17h","p3q17i","p3q17j","p3q17k","p3q18","p3q19","p3q20","p3q21","p3q22","p3q23","p3q24","p3q25","p3q26","p3q27","p3q28","p3q29","p3q30","p3q31a","p3q31b","p3q31c","p3q31d","p3q31e","p3q31f","p3q31g","p3q31h","p3q31i","p3q31j","p3q31k","p3q31l","p3q31m","p3q31n","p3q31o","p3q31p","p3q31q","p3q32a","p3q32b","p3q32c","p3q32d","p3q32e","p3q32f","p3q32g","p3q32h","p3q32i","p3q32j","p3q32k","p3q33","p3q34a","p3q34b","p3q34c","p3q34d","p3q34e","p3q34f","p3q34g","p3q34h","p3q34i","p3q34j","p3q34k","p3q34l","p3q34m","p3q34n","p3q34o"
"1347","f6570ee53c5d468fa9398cbae3e51743ea994dd18c622d576c3cb344951c4f88","1432351047",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1348","e65534ffe0eaadb8c96df7ba447a909b9cceaaf85562e7b18bbf846659ae20a8","1432351234","cocaine_circumstances=socializing&cocaine_obtained=given_friends&whippits_amount=3_5","10_100","no","yes","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,no_id,fake_id","MIT_FSILG_parties","liquor","10_100","3_10","no","others_parties","no","no","yes","yes","no","yes","unsure","yes","yes","yes","no","no","no","no","yes","no","once","ge3","ge3","never","never","never","twice","ge3","ge3","twice","never","3_10","joint,blunt,bowl,bong","MIT_FSILG_parties,given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","yes","bong","given_friends","NANS","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","never","never","never","never","never","never","never","never","never","ge3","never","twice","never","never","never","never","never","never","never","once","never","never","never","never","never","once","never"
"1349","bf5ac47fb4f4caaf06f518e27c6345d2285a2e1ae09d4bf8135cb5da0af0d25a","1432351275",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1350","eae9336f9cecdb5b6a8927dc77b5887ad2b66ea725b8fb5b3908aac4571ccd90","1432351398",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,parents","MIT_FSILG_parties","high_alc","once","never","no","my_parties","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1351","ac2d5019188756ce2f0dda217e2af956863c45d1a89d8eba2633622d250b87b2","1432351405",,"3_10","no","no","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,MIT_FSILG_parties,non_MIT_FSILG_party,unregistered_parties,parents,no_id,lower_drinking_age","MIT_FSILG_parties","beer","3_10","twice","no","my_parties","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","never","once","never","never","never","never","never","never","never","never","never","once","bowl","NANS","20","1","no","other","no","no","yes","bowl","other","NANS","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1352","f683643503fc63cd53970f7d5cde2898203d26916a7c146741b732e2889053f8","1432351449","whippits_amount=5_10","NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,unregistered_parties","bought_friends","beer","10_100","10_100","no","at_lg_socializing","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","once","ge3","never","never","never","never","never","never","never","never","never","twice","joint,bong","given_friends","19","2","yes","elsewhere_socializing","no","no","NANS","NANS","NANS","NANS","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","once","once","never","never","never","never","never","never","never","never","never","twice","once","once","never","never","never","never","never","never","never","never","never","never","never","never","never"
"1353","b173ac903e5e2d9e253254052072cdc58216c0c7eed7ef9b86a5a40bd842a589","1432351508","psychedelics_trip_sitter=always&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=yes&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_non_friends_MIT","3_10","no","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,off_campus,unregistered_parties,official_parties,fake_id","fake_id","beer","10_100","10_100","no","my_parties","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","never","ge3","ge3","never","never","never","never","once","never","ge3","never","gt100","joint,blunt,bowl,bong,improvised,vaporizer,edible,dabbing,liquid","bought_friends_MIT,bought_non_friends_MIT,MIT_FSILG_parties,given_friends","NANS","NANS","NANS","at_lg_socializing","no","no","yes","vaporizer","bought_non_MIT","NANS","yes","no","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","once","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"1354","e18b5f17852a96f263845a987e651f60f89af8abd976394fd812522ea14ebc01","1432351826","caffeine_with_alcohol=yes","3_10","no","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,unregistered_parties,student_group_events,parents,no_id,other_id","MIT_FSILG_parties","liquor","gt100","10_100","no","others_parties","yes","no","yes","yes","no","yes","no","yes","yes","no","yes","no","yes","yes","yes","no","ge3","ge3","ge3","never","never","never","twice","ge3","never","ge3","never","10_100","joint,bowl,vaporizer","given_friends","17","1","yes","elsewhere_socializing","no","no","yes","bowl","given_friends","NANS","yes","no","yes","yes","no","yes","no","yes","yes","no","no","no","yes","no","yes","no","no","never","once","never","never","never","never","never","never","never","never","never","ge3","never","ge3","never","never","never","never","never","never","never","never","never","never","never","never","never"
"1355","8b4b7b1b5ade8328a9075b73cf4f57333faf204ff04d990b11e848cad5701d8c","1432351847",,"NANS","NANS","NANS","NANS","10_100","yes","18","1","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties","MIT_FSILG_parties","beer","3_10","3_10","no","others_parties","yes","no","no","unsure","no","yes","yes","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1356","efa10bbfdb1fe891bb16847244214a98661fcdbc434b5602ebb20d82585eb5f4","1432352345","caffeine_with_alcohol=yes&whippits_amount=2&psychedelics_trip_sitter=often&psychedelics_bad_trip=once&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=yes&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=yes&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT%2Cbought_non_friends_MIT%2Cbought_non_MIT&lsd_obtained=bought_friends_MIT%2Cbought_non_friends_MIT%2Cbought_non_MIT&lsd_dose=50_150&presc_stim_use_past_12=1_5_total&presc_stim_prescribed=no&presc_stim_form=whole_pill&presc_stim_obtained=bought_non_MIT%2Cgiven_friends&presc_stim_source_prescribed=unsure&presc_stim_academic_use=yes_effective&presc_stim_with_alcohol=no","gt100","yes","no","NANS","gt100","yes","18","1","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties,official_parties","MIT_FSILG_parties","liquor","3_10","10_100","no","my_parties","yes","no","yes","yes","no","yes","no","yes","no","no","yes","yes","yes","yes","no","no","never","once","never","never","never","never","never","never","once","once","never","10_100","joint,blunt,bowl,bong,improvised,vaporizer,edible,dabbing","bought_friends_MIT,bought_non_friends_MIT,bought_non_MIT,MIT_FSILG_parties,given_friends","NANS","NANS","NANS","at_lg_socializing","no","yes","yes","bong","bought_non_MIT","NANS","yes","no","yes","yes","no","yes","no","yes","no","no","yes","yes","yes","no","no","no","no","never","never","never","never","never","never","never","never","once","never","never","ge3","never","never","never","never","never","never","never","never","once","once","never","never","never","never","never"
"1357","5a32a331ca4fe6f8563cd022872558a95707053e7e02e0c24f246a5d8b705176","1432353364","caffeine_with_alcohol=yes","NANS","NANS","NANS","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,fake_id","bought_friends","beer","10_100","10_100","no","my_parties","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","ge3","never","never","once","never","never","never","never","ge3","never","3_10","joint,blunt,bowl,bong,improvised,vaporizer,edible,dabbing","given_friends","NANS","NANS","NANS","at_lg_socializing","no","no","yes","bowl","given_friends","NANS","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"1358","58cb1ce47f00c3afa663173833982cd8847308a5dad5226e3d4a66b0fd17a5ae","1432353857","psychedelics_trip_sitter=always&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=given_friends&lsd_obtained=given_friends&lsd_dose=50_150","10_100","no","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,parents,no_id,other_id,fake_id","given_friends","beer","10_100","10_100","no","my_parties","no","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","twice","never","ge3","never","10_100","joint,blunt,bowl,bong,vaporizer,edible","bought_friends_MIT,bought_non_friends_MIT,bought_non_MIT,MIT_FSILG_parties,given_friends","NANS","NANS","NANS","at_lg_socializing","no","no","yes","bong","given_friends","NANS","no","no","no","yes","yes","yes","no","no","no","no","no","NANS","no","yes","no","no","no","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"1359","07cd676e7ed2f5de3d2d80547a54fb46dbe87892b362c4426effbcf22a2f8e61","1432354200",,"NANS","NANS","NANS","NANS","3_10","no","19","2","NANS","parents","parents","wine","never","never","no","other","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1360","5705a324f5456348efcaad0968547eca0c4cb639567512700b11959c310b5202","1432354294","caffeine_with_alcohol=yes&whippits_amount=3_5&psychedelics_trip_sitter=sometimes&psychedelics_bad_trip=once&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_non_MIT&lsd_obtained=bought_non_MIT&lsd_dose=150_400","gt100","no","yes","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,student_group_events","given_friends","liquor","10_100","10_100","no","my_parties","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","no","no","no","no","once","ge3","never","never","never","never","never","ge3","never","once","never","3_10","joint,bowl,bong,improvised,vaporizer,edible,dabbing,liquid","bought_friends_MIT,given_friends","NANS","NANS","NANS","at_lg_socializing","no","yes","yes","bong","bought_friends_MIT","NANS","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","twice","never","NANS","ge3","never","never","never","ge3","never","ge3","never","never","once","never","never","once","never","never","never","once","never","once","never","never","never","never","never"
"1361","130ac76c9ed6367fe3bf69773f9590215e13003f729ac2af098bcf7c9aa48bb8","1432354333",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1362","d6e8dcd200d87beb49ffed486cb6267e33a987ffc74cc11d86040a0075d80372","1432355171",,"NANS","NANS","NANS","NANS","3_10","yes","18","2","NANS","given_friends","given_friends","beer","twice","once","no","at_lg_socializing","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1363","a7bc0baa1c84cdebb89f6249f9a1da77176dbba381d9116a16acd0dc4e788690","1432355818",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties","bought_friends","high_alc","10_100","10_100","no","others_parties","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","never","never","once","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1364","1e8d7572c62498253c375947637ae85a67d9c9dd0267561ffa3c913ef12c6c26","1432356055",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties,lower_drinking_age","given_friends","high_alc","10_100","10_100","no","others_parties","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","never","ge3","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1365","d1316f941dd2047595ccd71102c96ff219e3b61401c98e8a493eea0440edacb4","1432356664",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","NANS","NANS","beer","never","3_10","no","elsewhere_socializing","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1366","cc8be72b17ae21820926a905c87c81c833111965f97930b61808293b768ee8da","1432356780",,"NANS","NANS","NANS","NANS","3_10","yes","17","2","NANS","given_friends,unregistered_parties","given_friends","high_alc","never","twice","no","at_lg_socializing","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1367","ac4191c1a78a147f0304c42566207302e94fff7f1ab0dee768e597541d411d65","1432358167",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1368","d2ffd0ac5536a3fb34e0eed72c743c16e11016eb943d95220a69c47edc54e4a9","1432358411",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1369","7479c21b4bad9214df7b38a527e3e0b860276328ad7e7e6a2fc16302677d3534","1432358573",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","unregistered_parties","unregistered_parties","beer","never","never","no","others_parties","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","once","edible","bought_non_friends_MIT","18","1","yes","other","no","no","NANS","NANS","NANS","NANS","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1370","67dfe1ab8fda1e3f1d2b1fdf4c43f31b4bbebe2c8529260402e11c64daf2c5a4","1432364105","caffeine_with_alcohol=no&whippits_amount=5_10&psychedelics_trip_sitter=always&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=given_friends&lsd_obtained=given_friends&lsd_dose=50_150","NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,official_parties","bought_friends","beer","3_10","twice","no","at_lg_socializing","yes","no","unsure","no","no","yes","no","no","no","no","no","no","yes","yes","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","never","once","never","never","never","never","never","never","never","never","never","never","never","never","never"
"1371","80ecc08df29e08d2dc49bbbfd65a69398db3466da35e889ce67e549352e055f9","1432364850",,"NANS","NANS","NANS","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,off_campus,parents","MIT_FSILG_parties","beer","3_10","3_10","no","at_lg_socializing","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","never","ge3","once","never","never","never","never","never","never","once","never","once","edible","bought_friends_MIT","21","4","yes","at_lg_socializing","no","no","no","edible","bought_friends_MIT","NANS","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1372","3c3108034d4e4263bb827559381c427630e67efebaf22ca19e6c71ffa62ddf83","1432366264","caffeine_with_alcohol=no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"1373","9ee78b2a48cbd7f1fa5231184c6e58432b7d25bd242e269dd636c88e6f9d7af3","1432369365","caffeine_with_alcohol=yes&cocaine_circumstances=socializing&cocaine_obtained=given_friends&whippits_amount=2","10_100","no","no","NANS","10_100","NANS","NANS","NANS","NANS","lower_drinking_age","lower_drinking_age","beer","10_100","10_100","no","at_lg_socializing","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","never","never","once","never","10_100","joint,blunt,bowl,bong,improvised,vaporizer,edible,dabbing","bought_friends_MIT,bought_non_friends_MIT,bought_non_MIT","19","1","no","elsewhere_socializing","no","yes","yes","bong","bought_friends_MIT","NANS","yes","no","yes","yes","yes","yes","no","no","no","no","no","no","yes","yes","no","no","yes","once","once","never","never","never","never","never","never","never","never","never","never","never","once","never","never","never","never","never","never","never","never","never","never","never","never","never"
