"resp","response_token","timestamp","p2q1","p2q2","p2q3","p2q4","p2q5","p2q6","p2q7a","p2q7b","p2q7c","p2q7d","p2q7e","p2q7f","p2q7g","p2q8a","p2q8b","p2q8c","p2q8d","p2q8e","p2q8f","p2q8g","p2q9","p2q10","p2q11","p2q12","p2q13","p2q14a","p2q14b","p2q14c","p2q15a","p2q16","p2q16a","p2q16b","p2q16c","p2q16d","p2q16e","p2q17","p2q17a","p2q17b","p2q17c","p2q17d","p2q17e","p2q18a","p2q18b","p2q19a","p2q19b","p2q19c","p2q19d","p2q19e","p2q19f","p2q20","p2q20a","p2q20b","p2q20c","p2q20d","p2q20e","p2q20f","p2q20g","p2q21","p2q21a","p2q21b","p2q21c","p2q21d","p2q21e","p2q21f","p2q22","p2q22a","p2q22b","p2q22c","p2q22d","p2q22e","p2q22f","p2q23","p2q23a","p2q23b","p2q23c","p2q23d","p2q23e","p2q24a","p2q24b","p2q25a","p2q25b","p2q25c","p2q25d","p2q26"
"751","0c1c46f25d58f45c28d95812937c45d8c491903098d4dd2fc4ac3ff8c2ed0a33","1431566364","no","no","adequate","v_unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","sli_neg","sli_neg","very_neg","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"752","96b240c5a3ab21ffbbc8cbae76d090d34ddc5b21470adfdef9960a3552255a42","1431566383","yes_def","think_so","adequate","unconf","unconf","twice","neg","very_neg","neg","neg","neg","neg","very_neg","sli_neg","very_neg","sli_neg","neg","neg","sli_neg","very_neg","no","no","ge3","gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,avail,other_users,others_perc","never","never","never","never","yes","once","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"753","49e5a00e29da505b555950dbaab7675bf4fa92e705a54549357ad479ff6af8b2","1431566529","no","no","unsure","unconf","unconf","never","neg","very_neg","sli_neg","neg","neg","neg","very_neg","neg","very_neg","neutral","sli_neg","sli_neg","sli_neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"754","14d59f0b5d779b571da2978b02800cd60e8f998140fd9cfaf439c9bf8da02218","1431566597","yes_def","yes_def","inadequate","v_unconf","v_unconf","never","neg","very_neg","neg","very_neg","very_neg","neg","very_neg","neg","very_neg","neg","very_neg","neg","neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"755","b08b731c4b4bea2fb900a8e6663895ebfc2e35e1a03755542a73e7e2eeb3fbd7","1431567077","unsure","no","adequate","v_unconf","unconf","never","very_neg","very_neg","sli_neg","sli_neg","sli_neg","very_neg","very_neg","sli_neg","neg","slightly_pos","slightly_pos","sli_neg","sli_neg","neg","no","no","never","none,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,avail,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"756","5b0ad5820567c46ff369735347d30833979e612d81b929ad68d49ddbbf1e58ca","1431567302","no","no","adequate","conf","conf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neutral","neg","pos","slightly_pos","slightly_pos","slightly_pos","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"757","24665dd3399976bf5e1ee699512e4eac3b4ccef60b5ce1c28a22a348b674ea28","1431567393","yes_def","yes_def","comprehensive","v_conf","v_conf","once","pos","sli_neg","pos","neutral","very_neg","ver_pos","ver_pos","neutral","very_neg","neutral","slightly_pos","neutral","neg","very_neg","yes_def","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads,other","main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50,cost,avail,other_users,others_perc","twice","3_10","once","never","yes","gt100","never","never","never","3_10","yes","10_100","3_10","twice","once","3_10","3_10","never","3_10","never","never","once","never","never","yes","never","3_10","twice","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","yes","once","never","never","never","never","never","never","never","never","never","never","no"
"758","f81477593f0186ce1d020e8b6b4aca8615e021a40e9b39bc79b2635902135d74","1431567887","unsure","unsure","adequate","conf","neither","never","neg","very_neg","neg","neg","neg","very_neg","very_neg","neg","very_neg","sli_neg","sli_neg","neg","neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"759","9a41d84100adab1c1cb57ad1e398da678e264e46d23951d425eb5d8836748539","1431567903","yes_def","yes_def","severely_inadequate","unconf","unconf","twice","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","slightly_pos","neutral","slightly_pos","neutral","neutral","slightly_pos","neutral","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"760","85930ca7bab6db37dceaf4cf1f8f02ac41be1d002f9095e4d5142e89329e8e2a","1431568437","think_so","unsure","inadequate","unconf","unconf","never","neutral","neg","sli_neg","neg","very_neg","sli_neg","neg","neutral","sli_neg","neutral","sli_neg","neg","neutral","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","NANS","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"761","7094f760d89ca57be0edb349a67954f69c1b1d91c0a05364d5c70bebae8bc5fe","1431568454","yes_def","yes_def","adequate","conf","unconf","never","neutral","neg","neutral","very_neg","very_neg","neutral","neutral","sli_neg","very_neg","neutral","sli_neg","very_neg","neg","very_neg","yes_def","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50,cost,avail,other_users,others_perc","never","never","never","never","yes","10_100","never","never","never","never","yes","once","never","once","never","never","never","never","never","never","never","never","never","never","yes","never","never","3_10","never","never","never","never","yes","never","never","never","once","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","yes","3_10","never","never","never","never","never","never","never","once","never","never","no"
"762","148f30f0f7a536d0beab60552b59dd7c5565e04a898bdc6de098c83d76db6b34","1431568851","no","no","unsure","v_unconf","v_unconf","never","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"763","78212689504f4f449f408830c343c99719714784e20f38869870537423a4f695","1431568992","think_so","think_so","inadequate","unconf","unconf","never","neg","very_neg","neg","very_neg","very_neg","sli_neg","neg","neg","neg","neg","neg","neg","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"764","e8994622a9dcb2ad83eb445b3f00277dbdc829330a720c2e337c7fde40ad4bb0","1431568994","think_so","no","inadequate","v_unconf","v_unconf","never","neg","very_neg","neg","neg","neg","sli_neg","neg","sli_neg","neg","sli_neg","neg","neg","sli_neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"765","f4da7841a08c87ab4b77a769af8c6f500a07b35185f163c68518e68c7460917d","1431569637","think_so","no","adequate","unconf","unconf","never","neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","neg","neg","sli_neg","neg","neg","sli_neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"766","73623e4f046bd0e8b76d9a43f035736bb2453192072b772edc03dfcfba60cf7d","1431569747","think_so","no","inadequate","v_unconf","v_unconf","never","very_neg","very_neg","sli_neg","sli_neg","sli_neg","very_neg","very_neg","neg","very_neg","neutral","neutral","sli_neg","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"767","a6db8c65f9c616bca404248781301056cef6ebda784e980a7f867801d2794bbd","1431569770","no","no","adequate","unconf","unconf","never","neg","very_neg","very_neg","very_neg","neg","neg","very_neg","sli_neg","neg","sli_neg","neg","sli_neg","sli_neg","neg","no","no","never","never_cons","NANS","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"768","37a7c8ac578f0ba5758b2134df6507c54bea53a1b1ede4a628a7abfa8b16a62d","1431569781","no","no","adequate","v_unconf","v_unconf","never","neg","very_neg","neg","neg","neutral","neg","neg","neg","very_neg","neutral","sli_neg","sli_neg","neutral","neutral","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"769","bca2b060c9a287e67181ed02584717f15a7e0906c67f2f97f69b3b2ba1d18a84","1431569811","no","no","unsure","v_unconf","unconf","never","sli_neg","very_neg","sli_neg","neg","neg","sli_neg","very_neg","sli_neg","neg","sli_neg","sli_neg","sli_neg","sli_neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"770","0db6fe457f0b2de6a42aaaccb2024ce6eb34da526f2ed6135cace42c5c71b510","1431569826","yes_def","no","adequate","v_conf","v_conf","ge3","neutral","very_neg","neg","sli_neg","neutral","neutral","neg","neg","very_neg","neg","very_neg","neg","neg","very_neg","no","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50,cost,avail,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"771","875d27b31f1fd2f4282aa8cdc7408e19139d3a857d1df240faa50228fe796a17","1431569977","no","no","adequate","unconf","unconf","never","neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","sli_neg","very_neg","sli_neg","sli_neg","sli_neg","neutral","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"772","a6d2c00fff670d7de036811b054c9e2afa6b5adde5a69a427443ed4982d028fa","1431570347","no","no","severely_inadequate","neither","v_conf","once","neg","very_neg","sli_neg","very_neg","neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","never","forums,online_like_erowid,gen_sources,other_undergrads","short_term_se,long_term_se,cost,avail,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","never","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"773","59ab82dd8b889844611d64256c28592e0379c2242b1984708a351cd335c57a10","1431570502","yes_def","yes_def","comprehensive","v_unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neutral","neutral","neutral","neutral","neutral","neutral","neutral","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"774","0757e24f4fe58d4d5e5991ea592b8104cb53c84d88a9b0f30162965643351380","1431570685","yes_def","think_so","adequate","neither","neither","never","sli_neg","very_neg","neutral","neg","very_neg","neutral","neg","sli_neg","very_neg","sli_neg","very_neg","very_neg","neutral","neg","no","no","twice","forums,gen_sources,other_undergrads","main_effects,short_term_se","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"775","4735ddd4c4a1533c407125c92aebb098a2214826f88998b246bd6454ee06eb75","1431570934","yes_def","yes_def","comprehensive","unconf","unconf","never","neg","very_neg","neg","neg","neg","neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","yes_def","no","once","none","main_effects,short_term_se,cost,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"776","c5feace9f11964f2e3091afe4813265458bf6482f35ac9d74b21d5f8f3ce5936","1431571123","no","no","inadequate","unconf","unconf","never","neg","very_neg","sli_neg","neg","very_neg","neg","very_neg","very_neg","very_neg","neg","very_neg","very_neg","very_neg","very_neg","no","no","never","forums,online_like_erowid,gen_sources","main_effects,short_term_se,long_term_se,phys_add,psy_add,avail,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"777","24ee6b3263f3c3d6410312314ebe119536044f38f06914471e884c6cef686fec","1431571389","think_so","no","adequate","v_unconf","v_unconf","never","neg","very_neg","very_neg","very_neg","neg","sli_neg","neg","sli_neg","neg","sli_neg","very_neg","sli_neg","sli_neg","neg","no","no","never","never_cons,forums,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,cost,avail,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"778","7d31ab39b37188cf86118e76f24af67228708ff1f107f32928bff04228a7cafa","1431571441","no","no","inadequate","unconf","unconf","never","very_neg","very_neg","very_neg","very_neg","neutral","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","never","never_cons","short_term_se,long_term_se,phys_add,psy_add,cost,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"779","ee6913265ee9552966efc54902c6137fdbb052d1e9deb4c1b24df5a762a4ad20","1431571587","no","no","unsure","neither","neither","never","neg","very_neg","sli_neg","very_neg","neg","neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","never","never_cons","never_cons","once","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"780","57ec1860989c754a73d56255df04afa21d52d43f3ddac2923db37b1909404e8a","1431571662","think_so","think_so","inadequate","conf","conf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","sli_neg","neg","neg","neutral","neg","neutral","NANS","unsure","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"781","becebab84e2386af84e7369fc4f2bf5ea1d61ac86cda526445cd94080ef8f43d","1431571789","think_so","no","inadequate","unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","neutral","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neutral","neutral","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"782","159abac66dc231d7499b81e05724f82f2f4bf60449fc7575aff2f2ff01382238","1431571852","yes_def","no","severely_inadequate","v_unconf","v_unconf","never","neg","very_neg","sli_neg","very_neg","very_neg","sli_neg","very_neg","very_neg","very_neg","neutral","sli_neg","very_neg","neutral","very_neg","yes_def","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"783","3ebdad0ba910c9343a6e706f241274c7bec04f258a15df837dabe5b1e67f14bc","1431571886","yes_def","unsure","inadequate","neither","neither","never","slightly_pos","very_neg","sli_neg","very_neg","very_neg","pos","very_neg","neg","very_neg","slightly_pos","slightly_pos","neg","neutral","very_neg","yes_def","no","never","forums,online_like_erowid,gen_sources,other_undergrads,other","main_effects,short_term_se,long_term_se,phys_add,psy_add,cost,avail,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"784","fd727587b80701e800a280aa865a2b7ae8c246d73d22a73627f5ad031268fce1","1431571959","no","no","inadequate","v_unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","neg","neg","neg","neg","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"785","8546827bcbecc26dc68db91b25fda2a7b3f1cf09b088fd923c8075ad0cc33c7e","1431572193","yes_def","yes_def","adequate","neither","unconf","never","pos","very_neg","slightly_pos","neutral","very_neg","slightly_pos","very_neg","neg","very_neg","sli_neg","very_neg","very_neg","neg","very_neg","yes_def","no","twice","online_like_erowid,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,cost,avail,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"786","79e0a95ff8f78038a33b729b1bddfc3bebc125060240c726b825e5563db32808","1431572392","yes_def","no","inadequate","conf","unconf","once","sli_neg","very_neg","sli_neg","very_neg","neg","neutral","very_neg","neg","very_neg","sli_neg","neg","neg","sli_neg","neg","unsure","no","ge3","none,online_like_erowid,gen_sources,other_undergrads,doctor","main_effects,short_term_se,long_term_se,avail,other_users,other","never","never","never","twice","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","yes","once","never","never","never","never","never","never","never","never","never","never","no"
"787","7a94d380efeab7b19c6b0d2e0195261e1d5a304e17b16c334e4f508433c6b6f7","1431572493","yes_def","yes_def","adequate","unconf","unconf","never","sli_neg","very_neg","sli_neg","very_neg","very_neg","sli_neg","very_neg","neutral","neg","sli_neg","very_neg","very_neg","neutral","sli_neg","yes_def","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"788","322f150931d49e74ed289732fd9dd7e430e05141f4dcb191c57f1dbbe5d47d64","1431572559","yes_def","think_so","inadequate","v_unconf","v_unconf","never","neg","very_neg","sli_neg","sli_neg","very_neg","neg","very_neg","sli_neg","very_neg","neutral","sli_neg","very_neg","slightly_pos","very_neg","unsure","no","twice","forums,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
