"resp","response_token","timestamp","p1q1","p1q2","p1q3","p1q4a","p1q4b","p1q5a","p1q5b","p1q6","p1q6a","p1q7","p1q7a","p1q7b","p1q8","p1q9","p1q10","p1q11","p1q12","p1q13","p1q14","p1q15","p1q16","p1q17a","p1q17b","p1q17c","p1q18a","p1q18b","p1q18c","p1q19","p1q20","p1q21","p1q22","p1q23","p1q24","p1q25","p1q26","p1q26a","p1q27","p1q27a","p1q27b","p1q28","p1q29","p1q30","p1q31","p1q32","p1q33","p1q34a","p1q34b","p1q34c","p1q35a","p1q35b","p1q35c","p1q36","p1q37","p1q37a","p1q38","p1q38a","p1q39","p1q40"
"687","e52bae659b5130090ad78c8daa63ba1271f5ae19e2d62a2ce412435cc5aa59fa","1431555721","0","yes_def","no","very_neg","sli_neg","neg","sli_neg","yes","14_15","yes","hookah","1_5_total","yes_def","3_4","3_4","3_4","1_2","about_same","comprehensive","yes","yes","sli_neg","very_neg","slightly_pos","sli_neg","neg","slightly_pos","no","unsure","conf","unconf","3_5","ge9","ge9","yes","13_14","yes","yes","1_per_month","no","yes_def","yes_def","strong_sup","strong_sup","yes","pos","slightly_pos","sli_neg","slightly_pos","neutral","sli_neg","3_5","yes","NANS","yes","1_5_total","no","no"
"688","aad309b343ab73c2930d40a91ea303d3011790d28cf6eccafa1821bdb230d0d3","1431555705","0","yes_def","yes","very_neg","neutral","very_neg","neutral","yes","16_17","yes","cigarette,hookah,cigar","5_10_total","yes_def","5_7","5_7","5_7","5_7","about_same","comprehensive","yes","yes","ver_pos","neutral","neutral","sli_neg","neutral","neutral","no","no","v_conf","v_conf","ge9","twice","twice","yes","15_16","yes","yes","2_5_per_week","no","yes_def","yes_def","sup","sup","no","neutral","neutral","neutral","neutral","neutral","neutral","ge9","no","NANS","yes","not_past_12","no","no"
"689","aafb3155e680a99bd03d56c93f9653b92cf9770b526cb96bd1d178f0a558cf96","1431555713","1","yes_def","no","neutral","slightly_pos","neg","neutral","yes","ge18","yes","cigarette,hookah,ecig","1_5_total","yes_def","3_4","3_4","1_2","3_4","about_same","comprehensive","yes","yes","pos","sli_neg","ver_pos","neutral","neg","neutral","no","no","v_conf","v_conf","never","3_5","3_5","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","yes","ver_pos","pos","pos","pos","neutral","neutral","ge9","yes","NANS","yes","1_per_2_weeks","no","no"
"690","17fa9ebfaf86b9476c25eda8bda758273ff920cde8043a450af9a1fa5b94dd5e","1431555858","0","yes_def","no","neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","5_7","5_7","about_same","adequate","yes","yes","neutral","neg","neutral","neutral","neg","neutral","no","no","neither","conf","once","ge9","ge9","no","NANS","yes","yes","1_5_total","no","yes_def","think_so","sup","neither","no","neutral","neutral","sli_neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"691","463fa66c9097f2b7f3dc7ca6e2dd1a4528e2f7d2986412428c2248776e752ea7","1431556014","0","yes_def","no","very_neg","neg","very_neg","neg","yes","ge18","yes","cigarette","1_5_total","yes_def","5_7","5_7","3_4","3_4","more","adequate","yes","yes","neutral","sli_neg","slightly_pos","neg","neg","neg","think_so","no","conf","conf","once","ge9","ge9","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","sup","sup","no","neutral","neutral","neg","neg","neg","neg","ge9","yes","NANS","no","NANS","no","no"
"692","77ec91782cb42ce330f98fcc22f9c5eb61365f42da5de150570471aef8d82288","1431556097","0","no","no","very_neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","think_so","1","1","3_4","0","about_same","adequate","yes","no","very_neg","very_neg","sli_neg","neutral","neutral","slightly_pos","no","no","neither","conf","never","3_5","3_5","no","NANS","yes","yes","1_5_total","no","no","no","neither","neither","no","very_neg","very_neg","very_neg","very_neg","sli_neg","neutral","never","no","NANS","no","NANS","no","no"
"693","b2ab72e2521ddc8f64c488553b352c2919d1042599b2714eeff80069bbb375e5","1431556107","0","yes_def","no","very_neg","neutral","neg","sli_neg","yes","16_17","yes","cigarette,hookah,with_marijauna,cigar","1_5_total","yes_def","8_10","8_10","3_4","8_10","less","comprehensive","yes","yes","pos","neutral","pos","neg","neg","slightly_pos","no","yes","v_conf","v_conf","ge9","ge9","ge9","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","yes","ver_pos","pos","neutral","neg","neg","neg","ge9","yes","NANS","yes","5_10_total","no","no"
"694","12f5efc1de528f9008470608a10dcc72b33d8586bc866ed49b43b5c61d6a194d","1431556125","0","no","no","very_neg","very_neg","very_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","2","2","3_4","1_2","about_same","comprehensive","yes","yes","neg","neg","sli_neg","sli_neg","neutral","slightly_pos","no","no","conf","conf","never","once","never","yes","17_18","yes","yes","5_10_total","no","yes_def","yes_def","neither","neither","no","neutral","neg","very_neg","neutral","sli_neg","neg","twice","yes","NANS","no","NANS","no","no"
"695","14972ffd05a6c11376bc4d89e6dad3cc8c6c4f14f117c5d00b766f39f191ddc1","1431556200","1","no","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","0","about_same","adequate","yes","unsure","neg","neg","slightly_pos","sli_neg","neutral","neutral","think_so","no","unconf","unconf","never","3_5","3_5","no","NANS","no","NANS","NANS","no","think_so","think_so","neither","neither","unsure","neutral","sli_neg","neg","neutral","sli_neg","neg","never","no","NANS","no","NANS","no","no"
"696","4cf0a2b042a4538d29d3623e731d11c323a5f1e472f202fc0c2041c5ab4fbf66","1431556227","0","yes_def","no","very_neg","neg","neg","neg","yes","ge18","yes","cigarette,hookah,cigar,pipe","1_5_total","yes_def","11_13","11_13","3_4","5_7","less","adequate","yes","yes","sli_neg","neg","slightly_pos","sli_neg","neg","slightly_pos","yes_def","no","conf","neither","never","3_5","3_5","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","yes_def","strong_sup","sup","unsure","slightly_pos","neutral","neutral","neutral","sli_neg","neg","ge9","no","NANS","yes","1_per_month","no","no"
"697","28bef4689a6929d256b2d53568febdd1b6c65b3e5ffcf773b3548d0dbfffff45","1431556273","0","yes_def","no","very_neg","neutral","very_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","1","5_7","3_4","about_same","adequate","yes","yes","sli_neg","neg","neutral","neutral","neutral","neutral","no","unsure","conf","conf","never","twice","twice","no","NANS","yes","yes","1_per_2_weeks","no","yes_def","yes_def","strong_sup","strong_sup","unsure","pos","pos","sli_neg","pos","pos","neutral","3_5","no","NANS","yes","1_per_month","no","no"
"698","f7905b03019c699378beb46f0ef287b726898eb7d09178dc7d07b9c76d50110a","1431556314","0","yes_def","no","very_neg","neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","3_4","8_10","5_7","5_7","less","inadequate","yes","yes","sli_neg","neg","pos","slightly_pos","slightly_pos","neutral","no","no","conf","v_conf","never","6_8","3_5","yes","17_18","yes","yes","1_per_month","no","yes_def","yes_def","strong_sup","strong_sup","yes","ver_pos","ver_pos","ver_pos","sli_neg","sli_neg","sli_neg","once","yes","NANS","yes","1_per_week","no","yes"
"699","ef405af0a07852fbef3bdbaac6386d34b78031bc5e9cda7734c8c78153f7d9e6","1431556465","0","no","no","very_neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","3_4","1_2","less","adequate","yes","no","sli_neg","neg","neutral","neg","very_neg","neutral","no","no","conf","unconf","never","ge9","never","yes","17_18","yes","no","1_per_2_weeks","no","yes_def","unsure","sup","sup","no","neg","neg","very_neg","neutral","sli_neg","neg","never","no","NANS","no","NANS","no","no"
"700","146512200df968adec84ef41d352502899d2de2dccc8bc750b74f3fb576f11da","1431556581","0","think_so","no","neg","neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","5_7","3_4","5_7","0","about_same","adequate","yes","yes","sli_neg","neg","neutral","sli_neg","sli_neg","slightly_pos","no","no","v_conf","v_conf","never","ge9","ge9","no","NANS","yes","yes","1_5_total","no","yes_def","yes_def","sup","sup","no","sli_neg","neutral","neutral","slightly_pos","slightly_pos","slightly_pos","3_5","no","NANS","no","NANS","no","no"
"701","8d5b6a5e51d05c64c24a4bb81134fef016aaf70b9a64ce835ea7e67914104f82","1431556815","0","no","no","very_neg","neutral","very_neg","neutral","no","NANS","no","NANS","NANS","no","0","0","1_2","0","about_same","unsure","unsure","no","neg","sli_neg","neutral","sli_neg","sli_neg","pos","no","no","conf","conf","never","twice","twice","yes","15_16","yes","yes","not_past_12","no","no","no","sup","neither","no","neg","neg","very_neg","neutral","sli_neg","neg","never","no","NANS","no","NANS","no","no"
"702","d66ef86f5c2086ed0363b3d1efb48157d1fa3db2bce7d602a5152d0d0152d92a","1431556822","1","no","no","neg","sli_neg","neg","neutral","no","NANS","yes","cigarette","1_5_total","yes_def","1","1","3_4","8_10","less","adequate","yes","yes","neutral","neg","slightly_pos","neutral","neg","neutral","no","no","conf","conf","twice","3_5","twice","yes","13_14","yes","yes","1_per_month","no","yes_def","unsure","sup","sup","no","neutral","neutral","neutral","neutral","neutral","sli_neg","never","no","NANS","yes","1_5_total","no","no"
"703","4f212c0e4d33e0414610f435c08d0418141b76846fd3157995a4a23ddc9ad433","1431556868","0","think_so","no","very_neg","sli_neg","neg","neutral","no","NANS","no","NANS","NANS","think_so","2","2","NANS","3_4","about_same","comprehensive","yes","unsure","sli_neg","very_neg","slightly_pos","slightly_pos","neg","pos","no","no","neither","neither","never","twice","twice","yes","11_12","yes","yes","1_5_total","no","yes_def","no","sup","sup","no","sli_neg","sli_neg","neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"704","009a91576c0ce45bbd56be6f18a6b5beb8007a03048e82c5bb2efd86a45a41cb","1431556992","0","yes_def","yes","neutral","neutral","very_neg","very_neg","yes","16_17","yes","cigarette,with_marijauna,chewing","not_past_12","yes_def","5_7","5_7","1_2","3_4","much_less","unsure","yes","yes","neutral","sli_neg","very_neg","very_neg","very_neg","pos","no","yes","v_conf","v_conf","twice","ge9","ge9","yes","13_14","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","sup","yes","ver_pos","ver_pos","ver_pos","sli_neg","sli_neg","very_neg","ge9","yes","NANS","yes","2_5_per_week","y_mit_incl_non_friends","no"
"705","95bf14b585cd9b8f9ad6e2ca11ef7e7f4d2d5065ee6d70d7ce3cbc21a75fc94d","1431557002","0","no","no","very_neg","very_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","0","about_same","unsure","unsure","unsure","neg","neg","neutral","sli_neg","sli_neg","neutral","no","no","neither","neither","once","3_5","3_5","no","NANS","no","NANS","NANS","no","yes_def","yes_def","sup","neither","unsure","neutral","neutral","neutral","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"706","11a4d85882de73ad3e40c83766e941ce4092491a9ea77533d1bbbc2ce5480729","1431557056","0","think_so","no","very_neg","sli_neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","0","less","adequate","no","no","neutral","neutral","neutral","neg","neg","slightly_pos","no","no","neither","neither","once","ge9","ge9","no","NANS","no","NANS","NANS","no","yes_def","yes_def","strong_sup","strong_sup","no","neutral","neutral","neutral","slightly_pos","neutral","neg","3_5","no","NANS","no","NANS","no","no"
"707","7f162f5fc764b96dc69ee33d1dac944d6be7b35e6a642670618f4e13cd41baaf","1431557420","0","no","no","very_neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","no","2","0","0","0","much_less","comprehensive","no","no","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","neither","neither","never","never","never","no","NANS","no","NANS","NANS","no","no","no","strong_sup","strong_sup","no","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","never","no","NANS","no","NANS","no","no"
"708","96bc89ad12843974968fc1393bb8467ed05bed60a7d843adb993ea4b28837aac","1431557186","0","think_so","yes","very_neg","very_neg","very_neg","neg","yes","16_17","yes","cigarette,cigar","5_10_total","yes_def","3_4","3_4","5_7","11_13","less","adequate","yes","yes","sli_neg","sli_neg","neutral","sli_neg","neg","neutral","no","no","v_conf","conf","never","3_5","3_5","yes","15_16","yes","yes","1_per_week","no","yes_def","think_so","strong_sup","strong_sup","no","neutral","neutral","neutral","neutral","neutral","neutral","ge9","no","NANS","no","NANS","no","no"
"709","1c8f6b570bf35ca0a3bd15f72d31cc4413dca9808024d2170c45eb18272d2370","1431557196","0","no","no","very_neg","neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","3_4","about_same","inadequate","unsure","unsure","neutral","neg","neutral","sli_neg","neg","neutral","no","no","neither","conf","once","once","once","yes","17_18","yes","yes","1_per_month","no","yes_def","think_so","strong_sup","sup","unsure","neutral","neutral","sli_neg","sli_neg","sli_neg","neg","never","no","NANS","yes","not_past_12","no","no"
"710","d30826d08bc6242bf69d288adcb87112c1bd410c0d9b8d180a6acd783a1d7745","1431557324","0","no","no","neg","sli_neg","sli_neg","neutral","no","NANS","no","NANS","NANS","unsure","0","0","1_2","0","about_same","adequate","yes","no","neg","neutral","pos","sli_neg","neutral","slightly_pos","no","no","conf","conf","never","3_5","twice","no","NANS","yes","no","1_5_total","no","unsure","unsure","sup","sup","no","neutral","neutral","sli_neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"711","2d81a4896aa99b9e7321e219539675e6eabdac5cd97b4dc4333a37f28e07629a","1431557881","0","yes_def","unsure","very_neg","very_neg","neg","neg","yes","16_17","yes","cigar","1_5_total","unsure","3_4","3_4","3_4","5_7","less","adequate","yes","yes","sli_neg","neg","neutral","neg","very_neg","neutral","no","no","neither","unconf","once","ge9","ge9","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","yes_def","strong_sup","strong_sup","yes","pos","neutral","neg","neutral","neutral","neg","6_8","yes","NANS","yes","1_5_total","no","no"
"712","18b19d475de7787998ad9109996e1515e3a970e7c8f14ae3005c4f0a7b6be256","1431557895","0","yes_def","yes","neg","sli_neg","very_neg","neg","no","NANS","yes","with_marijauna","1_5_total","yes_def","8_10","8_10","3_4","8_10","much_less","adequate","yes","yes","pos","pos","pos","neutral","neutral","neutral","yes_def","no","v_conf","v_conf","never","ge9","3_5","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","yes","ver_pos","ver_pos","pos","ver_pos","slightly_pos","neutral","6_8","yes","NANS","yes","2_5_per_week","y_mit_friends","no"
"713","a70b62b880ade10bb2f7aa6cc8baab53d9ff8a54038be63c1bedc1451ea6cd81","1431558099","0","think_so","no","very_neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","5_7","5_7","3_4","1_2","less","adequate","yes","no","sli_neg","sli_neg","slightly_pos","neutral","sli_neg","neutral","no","no","conf","neither","once","3_5","3_5","no","NANS","yes","yes","1_per_2_weeks","no","think_so","no","sup","neither","no","neutral","sli_neg","sli_neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"714","3291360228d7732911d713d289607c316b7e97155858ed93111bffef5695dc28","1431558261","0","think_so","no","very_neg","neg","neg","sli_neg","no","NANS","no","NANS","NANS","think_so","0","0","3_4","0","less","adequate","yes","unsure","neg","neg","neutral","sli_neg","sli_neg","slightly_pos","no","no","neither","conf","never","never","never","yes","19_20","yes","yes","1_5_total","no","think_so","think_so","sup","sup","no","neutral","sli_neg","sli_neg","slightly_pos","neutral","sli_neg","never","no","NANS","no","NANS","no","no"
"715","0f7590b91e0f53a9a6ebf50d3ea053be0e56c93f6a9115890ad7dcea9b6c0ba7","1431558417","0","no","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","unsure","1","1","1_2","0","about_same","unsure","no","no","neg","NANS","neutral","sli_neg","neutral","slightly_pos","no","no","unconf","unconf","never","twice","once","no","NANS","yes","yes","1_5_total","no","think_so","no","opp","strong_opp","no","very_neg","very_neg","very_neg","neg","neg","neg","never","no","NANS","no","NANS","no","no"
"716","5e5d8a87983a34a9db48bae3d6d5702c88e3f400fffe4d58585e5e2705e4d576","1431558652","0","no","no","neg","sli_neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","2","2","3_4","1_2","about_same","adequate","yes","yes","sli_neg","neg","neutral","neg","sli_neg","neutral","no","no","conf","neither","never","6_8","6_8","yes","17_18","yes","yes","1_5_total","no","yes_def","think_so","neither","neither","unsure","neutral","sli_neg","sli_neg","neutral","neutral","neutral","3_5","no","NANS","no","NANS","no","no"
"717","91df4cbd80973468ffd71708913428887dd312b689aaf6c6cc278a564f4b795e","1431558987","0","think_so","no","neg","sli_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","think_so","1","1","1_2","0","less","adequate","yes","yes","neg","neg","neutral","neg","sli_neg","neutral","no","no","NANS","v_unconf","never","twice","twice","no","17_18","no","NANS","NANS","yes","unsure","unsure","neither","neither","no","sli_neg","sli_neg","neg","neutral","neutral","sli_neg","never","no","NANS","no","NANS","no","no"
"718","c84ea165759a3521788895a4c8d5711aac9f5ff0ce8c8ecdfc0118bff211f561","1431559012","0","no","no","very_neg","very_neg","sli_neg","neutral","no","NANS","no","NANS","NANS","no","0","0","3_4","0","less","unsure","no","no","very_neg","very_neg","neutral","neg","neg","neutral","no","no","unconf","unconf","never","never","never","no","NANS","no","NANS","NANS","no","no","no","NANS","NANS","no","neutral","neg","very_neg","neutral","sli_neg","neg","never","no","NANS","no","NANS","no","no"
"719","591c896b7a403d0812f96f9ff1161950b2b3e38cad9f7218610122e5dab9549d","1431559028","1","yes_def","no","neg","neutral","neg","sli_neg","no","NANS","yes","hookah,cigar","1_per_month","yes_def","3_4","3_4","5_7","11_13","less","adequate","yes","yes","pos","sli_neg","ver_pos","sli_neg","sli_neg","pos","no","no","conf","neither","never","ge9","ge9","no","NANS","yes","yes","1_per_week","no","yes_def","yes_def","sup","sup","unsure","neutral","neutral","sli_neg","sli_neg","sli_neg","neg","ge9","no","NANS","yes","1_per_month","no","no"
"720","1530cd23e97b6c54bb1002060af467642f7a066fadeddcf3e7c30b38a0335d9e","1431559234","0","yes_def","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","2","2","3_4","0","about_same","adequate","unsure","unsure","neutral","sli_neg","neutral","sli_neg","sli_neg","sli_neg","no","no","v_conf","conf","once","ge9","ge9","no","NANS","yes","yes","1_5_total","no","yes_def","think_so","sup","sup","no","neutral","neutral","neutral","slightly_pos","slightly_pos","slightly_pos","3_5","no","NANS","no","NANS","no","no"
"721","b2b03d54f03ae339e3ea5fe83f0b594aca17239221e5087a6b4491707271f6f6","1431559257","0","yes_def","no","very_neg","very_neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","5_7","3_4","1_2","3_4","about_same","adequate","yes","yes","sli_neg","neg","pos","very_neg","very_neg","neutral","unsure","no","conf","conf","once","6_8","once","yes","15_16","yes","yes","1_per_week","no","yes_def","yes_def","sup","opp","no","neutral","neutral","neg","neutral","sli_neg","sli_neg","3_5","no","NANS","no","NANS","no","no"
"722","63a3dac8d037b7bb247147a844f2518fd1e83d4622e58e64111e98910028bc60","1431559381","0","think_so","no","very_neg","very_neg","neutral","neutral","no","NANS","no","NANS","NANS","yes_def","0","0","3_4","0","about_same","unsure","no","no","very_neg","very_neg","neutral","neutral","neg","slightly_pos","no","no","neither","neither","never","3_5","never","no","NANS","no","NANS","NANS","no","think_so","unsure","sup","sup","no","sli_neg","neg","very_neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"723","e9fb071d05f2f4c7f079a7a5067199abd20fed0927ce3efe0722b234de188158","1431559441","0","yes_def","no","very_neg","neg","sli_neg","neutral","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","1_2","about_same","adequate","no","no","sli_neg","neutral","neutral","sli_neg","neutral","slightly_pos","no","no","conf","conf","never","ge9","ge9","no","NANS","yes","no","5_10_total","no","yes_def","yes_def","opp","opp","no","neutral","neutral","sli_neg","slightly_pos","neutral","neutral","once","no","NANS","no","NANS","no","no"
"724","3104564a53837e91b0369a663bf41b056336e3b71153d1a859a9885f6b9486ce","1431559559","0","yes_def","no","neg","sli_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","0","not_sure","unsure","unsure","no","sli_neg","neg","neutral","sli_neg","sli_neg","neutral","no","no","conf","unconf","once","ge9","ge9","no","NANS","yes","yes","5_10_total","no","yes_def","yes_def","neither","neither","no","sli_neg","sli_neg","neg","pos","slightly_pos","neutral","ge9","no","NANS","no","NANS","no","no"
"725","273aa1992873e231821ba2ef8c4ab50108b39639cea87c72ee56c8049be8c27b","1431559574","0","yes_def","no","neg","sli_neg","neg","neutral","no","NANS","no","NANS","NANS","yes_def","2","2","1_2","0","less","adequate","unsure","unsure","neg","sli_neg","neutral","sli_neg","sli_neg","neutral","no","no","neither","neither","once","once","once","no","NANS","no","NANS","NANS","no","yes_def","think_so","sup","sup","no","sli_neg","sli_neg","neg","sli_neg","neg","neg","once","no","NANS","no","NANS","no","no"
"726","9afbe63cf956afca59dd6d1a628e4c38ccd3625c2b732a77e57e4f3e345bf7ed","1431559579","0","no","no","very_neg","sli_neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","2","2","5_7","5_7","less","comprehensive","yes","yes","ver_pos","slightly_pos","ver_pos","slightly_pos","slightly_pos","pos","no","no","v_conf","v_conf","never","ge9","ge9","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","sup","no","pos","pos","slightly_pos","sli_neg","neg","very_neg","ge9","no","NANS","yes","1_per_week","no","no"
"727","abceb817fb5c32bf9f61123e94cb3700067a7629df34c1c77add4f3b4bfbab4d","1431559593","0","no","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","0","0","1_2","0","less","comprehensive","no","no","neg","neg","neutral","sli_neg","sli_neg","neutral","no","no","neither","neither","once","twice","twice","no","NANS","yes","yes","1_5_total","no","unsure","no","neither","neither","no","sli_neg","neg","very_neg","sli_neg","neg","very_neg","never","no","NANS","no","NANS","no","no"
"728","3aa7949b35a1facf435738d9b0003bce20376983e7249e3636905ed9d04b358d","1431559690","0","no","no","very_neg","neg","very_neg","sli_neg","no","NANS","no","NANS","NANS","no","1","1","1_2","0","much_less","adequate","yes","no","neg","very_neg","neutral","sli_neg","neg","neutral","no","no","conf","conf","never","ge9","3_5","no","NANS","yes","no","1_5_total","no","yes_def","unsure","sup","opp","no","neutral","neg","very_neg","neutral","sli_neg","neg","never","no","NANS","no","NANS","no","no"
"729","4a0b3ea7bba7d78083286a9ba7894bcb34c3ab09a65793a11e832dbb45318e8a","1431559818","0","think_so","no","sli_neg","neutral","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","0","0","5_7","0","about_same","inadequate","no","no","neutral","neutral","neutral","sli_neg","neutral","neutral","no","no","conf","neither","once","ge9","6_8","yes","le10","yes","yes","1_per_2_weeks","no","yes_def","yes_def","sup","sup","no","neutral","neutral","neg","neutral","neutral","neg","3_5","no","NANS","yes","2_5_per_week","no","no"
"730","e85735e74157c40be9c17c51699fe82d2f978d6f58b6a7aaad82cd8f2ee2b723","1431559913","0","no","no","very_neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","0","less","adequate","yes","yes","sli_neg","sli_neg","pos","slightly_pos","sli_neg","slightly_pos","no","no","neither","v_unconf","never","twice","twice","yes","17_18","yes","yes","1_5_total","no","yes_def","think_so","sup","sup","no","neutral","neutral","neg","pos","pos","neutral","twice","no","NANS","no","NANS","no","no"
"731","4be4b215ccc264c2efcd5cc635443bbfaed3408ba1be4206dec3081af7a45f1a","1431559925","0","yes_def","no","neg","sli_neg","very_neg","neg","no","NANS","yes","hookah,gum_lozenge","1_5_total","yes_def","2","2","3_4","3_4","less","adequate","yes","yes","neg","neg","neutral","neg","neg","slightly_pos","no","no","conf","conf","once","6_8","3_5","yes","17_18","yes","yes","1_per_month","no","yes_def","yes_def","strong_sup","strong_sup","unsure","neutral","pos","slightly_pos","neutral","neutral","sli_neg","ge9","yes","NANS","yes","2_5_per_week","no","no"
"732","c045946035c7b55ba774719223b2adf99cc4bfad95cd0a5c0711c463194ebb9d","1431559931","0","no","no","very_neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","0","0","1_2","0","less","adequate","unsure","no","sli_neg","neg","neutral","sli_neg","sli_neg","slightly_pos","no","no","neither","neither","never","3_5","3_5","no","NANS","no","NANS","NANS","no","yes_def","yes_def","sup","sup","no","sli_neg","neg","very_neg","neutral","sli_neg","neg","never","no","NANS","no","NANS","no","no"
"733","38f512dd7a4f34ffa94b76e41349bb6279529801ecc13e926864ad6cb2350888","1431560045","0","no","no","very_neg","sli_neg","neg","neutral","no","NANS","no","NANS","NANS","yes_def","2","2","3_4","1_2","about_same","adequate","yes","unsure","very_neg","very_neg","slightly_pos","very_neg","very_neg","neutral","no","no","conf","neither","once","3_5","3_5","yes","17_18","yes","yes","1_per_month","no","yes_def","unsure","strong_sup","sup","no","neutral","neutral","neutral","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"734","b84a861afcd8dfd528dd4c3a9bcda34dbd14c4d25c68ff73f9c8f02fda2e25ff","1431560080","0","no","no","very_neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","5_7","5_7","3_4","8_10","about_same","comprehensive","yes","yes","neutral","very_neg","neutral","neg","very_neg","neutral","no","no","v_conf","neither","never","6_8","6_8","no","NANS","yes","yes","1_per_week","no","yes_def","yes_def","strong_sup","sup","unsure","neutral","neutral","neutral","neg","very_neg","very_neg","6_8","no","NANS","no","NANS","no","no"
"735","c0a5905e4ab07e39ba83d298dd582f089120572582c7cf3027ef098ab9ee9061","1431560282","0","no","no","very_neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","2","2","1_2","3_4","about_same","comprehensive","no","no","neg","very_neg","neutral","neg","neg","sli_neg","no","no","neither","neither","once","3_5","3_5","yes","15_16","yes","yes","1_per_month","no","think_so","no","neither","neither","no","neutral","sli_neg","very_neg","sli_neg","neg","very_neg","twice","no","NANS","no","NANS","no","no"
"736","13a6a3c73b55e731ae257e86d1db163046565ed4bed6c6f9dd63e07e28623e65","1431560472","0","no","no","very_neg","very_neg","very_neg","neg","no","NANS","no","NANS","NANS","think_so","2","2","1_2","1_2","less","adequate","yes","yes","neg","very_neg","ver_pos","sli_neg","very_neg","pos","no","no","conf","unconf","never","ge9","ge9","yes","17_18","yes","yes","5_10_total","no","yes_def","no","strong_sup","sup","unsure","ver_pos","slightly_pos","neutral","ver_pos","pos","neutral","once","no","NANS","no","NANS","no","no"
"737","2efb2150f6d944aded44cfdfc33d77ffa0851ec70b692a9e08a301b4d10647fa","1431560525","0","no","no","very_neg","neg","very_neg","sli_neg","no","NANS","no","NANS","NANS","no","0","0","1_2","0","less","adequate","no","no","neg","very_neg","neutral","neg","very_neg","slightly_pos","no","no","unconf","v_unconf","never","never","never","no","NANS","no","NANS","NANS","no","no","no","sup","sup","no","neutral","neutral","neutral","slightly_pos","neutral","neutral","never","no","NANS","no","NANS","no","no"
"738","af5cf45ecdb63a932eb174090aa409552883b2d2f28d9293329019ee1187dfa0","1431560658","0","yes_def","no","neutral","neg","sli_neg","sli_neg","no","NANS","yes","cigarette","1_per_2_weeks","yes_def","8_10","8_10","3_4","1_2","less","comprehensive","yes","yes","very_neg","ver_pos","very_neg","very_neg","ver_pos","neutral","no","no","v_conf","v_conf","never","6_8","6_8","yes","17_18","yes","yes","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
